,time
1592,6.2188
1593,6.2227
1594,6.2266
1595,6.2305
1596,6.2344
1597,6.2383
1598,6.2422
1599,6.2461
1600,6.25
1601,6.2539
1602,6.2578
1603,6.2617
1604,6.2656
1605,6.2695
1606,6.2734
1607,6.2773
1608,6.2812
1609,6.2852
1610,6.2891
1611,6.293
1612,6.2969
1613,6.3008
1614,6.3047
1615,6.3086
1616,6.3125
1617,6.3164
1618,6.3203
1619,6.3242
1620,6.3281
1621,6.332
1622,6.3359
1623,6.3398
1624,6.3438
1625,6.3477
1626,6.3516
1627,6.3555
1628,6.3594
1629,6.3633
1630,6.3672
1631,6.3711
1632,6.375
1633,6.3789
1634,6.3828
1635,6.3867
1636,6.3906
1637,6.3945
1638,6.3984
1639,6.4023
1640,6.4062
1641,6.4102
1642,6.4141
1643,6.418
1644,6.4219
1645,6.4258
1646,6.4297
1647,6.4336
1648,6.4375
1649,6.4414
1650,6.4453
1651,6.4492
1652,6.4531
1653,6.457
1654,6.4609
1655,6.4648
1656,6.4688
1657,6.4727
1658,6.4766
1659,6.4805
1660,6.4844
1661,6.4883
1662,6.4922
1663,6.4961
1664,6.5
1665,6.5039
1666,6.5078
1667,6.5117
1668,6.5156
1669,6.5195
1670,6.5234
1671,6.5273
1672,6.5312
1673,6.5352
1674,6.5391
1675,6.543
1676,6.5469
1677,6.5508
1678,6.5547
1679,6.5586
1680,6.5625
1681,6.5664
1682,6.5703
1683,6.5742
1684,6.5781
1685,6.582
1686,6.5859
1687,6.5898
1688,6.5938
1689,6.5977
1690,6.6016
1691,6.6055
1692,6.6094
1693,6.6133
1694,6.6172
1695,6.6211
1696,6.625
1697,6.6289
1698,6.6328
1699,6.6367
1700,6.6406
1701,6.6445
1702,6.6484
1703,6.6523
1704,6.6562
1705,6.6602
1706,6.6641
1707,6.668
1708,6.6719
1709,6.6758
1710,6.6797
1711,6.6836
1712,6.6875
1713,6.6914
1714,6.6953
1715,6.6992
1716,6.7031
1717,6.707
1718,6.7109
1719,6.7148
1720,6.7188
1721,6.7227
1722,6.7266
1723,6.7305
1724,6.7344
1725,6.7383
1726,6.7422
1727,6.7461
1728,6.75
1729,6.7539
1730,6.7578
1731,6.7617
1732,6.7656
1733,6.7695
1734,6.7734
1735,6.7773
1736,6.7812
1737,6.7852
1738,6.7891
1739,6.793
1740,6.7969
1741,6.8008
1742,6.8047
1743,6.8086
1744,6.8125
1745,6.8164
1746,6.8203
1747,6.8242
1748,6.8281
1749,6.832
1750,6.8359
1751,6.8398
1752,6.8438
1753,6.8477
1754,6.8516
1755,6.8555
1756,6.8594
1757,6.8633
1758,6.8672
1759,6.8711
1760,6.875
1761,6.8789
1762,6.8828
1763,6.8867
1764,6.8906
1765,6.8945
1766,6.8984
1767,6.9023
1768,6.9062
1769,6.9102
1770,6.9141
1771,6.918
1772,6.9219
1773,6.9258
1774,6.9297
1775,6.9336
1776,6.9375
1777,6.9414
1778,6.9453
1779,6.9492
1780,6.9531
1781,6.957
1782,6.9609
1783,6.9648
1784,6.9688
1785,6.9727
1786,6.9766
1787,6.9805
1788,6.9844
1789,6.9883
1790,6.9922
1791,6.9961
1792,7.0
1793,7.0039
1794,7.0078
1795,7.0117
1796,7.0156
1797,7.0195
1798,7.0234
1799,7.0273
1800,7.0312
1801,7.0352
1802,7.0391
1803,7.043
1804,7.0469
1805,7.0508
1806,7.0547
1807,7.0586
1808,7.0625
1809,7.0664
1810,7.0703
1811,7.0742
1812,7.0781
1813,7.082
1814,7.0859
1815,7.0898
1816,7.0938
1817,7.0977
1818,7.1016
1819,7.1055
1820,7.1094
1821,7.1133
1822,7.1172
1823,7.1211
1824,7.125
1825,7.1289
1826,7.1328
1827,7.1367
1828,7.1406
1829,7.1445
1830,7.1484
1831,7.1523
1832,7.1562
1833,7.1602
